trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-72.61313122176055,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,0,-71.47883403344042,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",35,25,-12.346052478071961,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-10.917384547204687,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,6,-70.6167533853902,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-96.21774393958262,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-235.27523031264747,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,0,-97.42704578882011,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-103.66380300418356,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,0,-51.15337734085233,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",30,0,-69.00757378828358,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,6,12.865120776362884,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,8,-17.249679190423965,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",30,22,-10.265316194673948,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,0,-90.97337315658255,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,0,3.97592919206793,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",25,0,-53.45418841879707,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",30,0,-89.02496598366206,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",30,8,-29.09228877332776,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",25,0,-86.37518660694714,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,0,-29.868549194296005,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
